Sample in Buffer,Sample in Window,TRIGGER,design_1_i/adc_interface_0_m_axis_tdata[31:0],design_1_i/adc_interface_0_m_axis_tlast,design_1_i/adc_interface_0_m_axis_tvalid,design_1_i/adc_interface_0_adc_signed_debug[15:0],design_1_i/adc_interface_0_win_coeff_out[15:0],design_1_i/adc_data[13:0],design_1_i/adc_interface_0_adc_data_original[13:0],design_1_i/adc_interface_0_adc_data_original_valid,design_1_i/xfft_0_m_axis_data_tdata[63:0],design_1_i/xfft_0_m_axis_data_tlast,design_1_i/xfft_0_m_axis_data_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
219,219,0,100109160,0,1,27d3,001c,10195,2920,1,b3adaa8da48bcea5,0,0
220,220,0,121607330,0,1,38bd,001c,14525,5282,1,b3adaa8da48bcea5,0,0
221,221,0,128278890,0,1,37ba,001c,14266,8554,1,b3adaa8da48bcea5,0,0
222,222,0,131162298,0,1,3fff,001c,16383,8378,1,b3adaa8da48bcea5,0,0
223,223,0,134078472,0,1,3fff,001c,16383,8200,1,b3adaa8da48bcea5,0,0
224,224,0,134109756,0,1,3fff,001c,16383,6716,1,b3adaa8da48bcea5,0,0
225,225,0,116512880,0,1,3fff,001c,16383,6256,1,b3adaa8da48bcea5,0,0
226,226,0,110529133,0,1,37c0,001c,14272,2669,1,b3adaa8da48bcea5,0,0
227,227,0,99426584,0,1,3912,001c,14610,8472,1,b3adaa8da48bcea5,0,0
228,228,0,55188408,0,1,2c3a,001c,11322,7096,1,b3adaa8da48bcea5,0,0
229,229,0,31457408,0,1,2143,001c,8515,128,1,b3adaa8da48bcea5,0,0
230,230,0,0,0,1,13e2,001c,5090,0,1,b3adaa8da48bcea5,0,0
231,231,0,0,0,1,0866,001c,2150,0,1,b3adaa8da48bcea5,0,0
232,232,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
233,233,0,0,0,1,0000,001c,0,0,1,b3adaa8da48bcea5,0,0
234,234,0,7926076,0,1,0000,001c,0,12604,1,b3adaa8da48bcea5,0,0
235,235,0,8106274,0,1,0000,001c,0,12578,1,b3adaa8da48bcea5,0,0
236,236,0,50647842,0,1,0ca7,001c,3239,4898,1,b3adaa8da48bcea5,0,0
237,237,0,88216425,0,1,1ee7,001c,7911,4969,1,b3adaa8da48bcea5,0,0
238,238,0,123735040,0,1,1646,001c,13894,3072,1,b3adaa8da48bcea5,0,0
239,239,0,162691360,0,1,3b1f,001c,15135,14624,1,b3adaa8da48bcea5,0,0
240,240,0,162233136,0,1,315f,001c,13791,15152,1,b3adaa8da48bcea5,0,0
241,241,0,189600459,0,1,34e9,001c,16105,4811,1,b3adaa8da48bcea5,0,0
242,242,0,192844293,0,1,3ea6,001c,16102,4613,1,b3adaa8da48bcea5,0,0
243,243,0,196104510,0,1,3fff,001c,16383,4414,1,b3adaa8da48bcea5,0,0
244,244,0,199364727,0,1,3fff,001c,16383,4215,1,b3adaa8da48bcea5,0,0
245,245,0,177198294,0,1,3fff,001c,16383,5334,1,b3adaa8da48bcea5,0,0
246,246,0,183773400,0,1,3e29,001c,15913,10456,1,b3adaa8da48bcea5,0,0
247,247,0,144693988,0,1,3496,001c,13462,6884,1,b3adaa8da48bcea5,0,0
248,248,0,111135284,0,1,3065,001c,12389,2612,1,b3adaa8da48bcea5,0,0
